Name,Veg/Non-Veg,Class,Calories,Carbohydrate,Protein,Fat,Fibre,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Selenium,Zinc,Potassium
Wheat Roti,Veg,Grains,300,45,4.5,3.7,3.5,-,0.12,0.04,1.25,1.98,0.31,-,-,-,-,-,14,0.144,0.9,-,0.682,108,33.9,0.7,78.4
Bajra Roti,Veg,Grains,250,49,4,1.9,2.8,-,0.09,0.01,1.01,1.01,0.98,-,-,-,-,-,15,0.115,1,-,0.756,130,25,1.1,42
Ragi Roti,Veg,Grains,270,35,3.7,2.2,3,-,0.15,0.02,1.35,1.23,0.112,-,-,-,-,-,13.5,0.129,1.2,-,0.551,200,12,0.8,49
Corn Roti,Veg,Grains,265,43,3.2,1.5,3.9,-,0.05,0.05,1.9,0.89,0.26,-,-,-,-,-,12.2,0.156,1.1,-,0.345,210,9.5,0.75,50.5
Potato,Veg,Vegetable,87,20.1,1.87,0.1,1.8,765,0.106,0.02,1.44,0.52,0.299,-,13,-,-,-,5,0.188,0.31,22,0.138,44,0.35,0.3,379
Sweet Potato,Veg,Vegetable,76,17.7,1.37,0.14,2.5,787,0.056,0.047,0.538,0.581,0.165,-,12.8,-,-,-,27,,0.72,18,,32,0.35,0.2,230
Jaggery,Veg,Sugar,350,100,2.5,0.15,6.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rice,Veg,Grains,130,29,2.4,0.2,0.3,-,0.2,0.25,2.5,1.78,0.65,-,-,-,-,-,8,0.101,1.7,-,0.258,289,11,0.68,27
Poha,Veg,Grains,114,28,2.8,0.4,0.5,-,0.3,0.05,1.6,1.05,0.43,-,-,-,-,-,10,0.199,2,-,0.647,169,15.8,0.97,33.4
Puffed Rice,Veg,Grains,360,78,7,0.5,1.5,-,0.31,0.35,1.1,0.98,0.81,-,-,-,-,-,5.9,0.121,5,-,0.625,115,6,0.47,110.7
Quinoa,Veg,Grains,120,20,4.1,1.8,2.6,-,0.22,0.35,1.05,1.38,0.31,-,-,-,-,-,16,0.161,1.4,-,0.514,158,17.8,0.56,159.1
Oats,Veg,Grains,350,54,11,5,8,-,0.582,0.139,0.85,1.35,0.12,-,-,-,-,-,42,0.342,3.4,-,0.991,520,42,5.1,293.4
Bananas,Veg,Fruits,89,22.8,1.09,0.33,2.6,3,0.031,0.073,0.665,0.334,0.367,-,-,-,-,-,5,,0.26,27,0.27,22,1,0.15,358
Dates,Veg,Sugar,277,75,1.81,-,-,7,0.05,0.06,1.61,0.805,0.249,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Raisins,Veg,Sugar,300,80,3.3,0.25,4.5,-,0.106,0.125,0.766,,0.174,-,-,-,-,-,62,0.272,1.79,36,,98,0.6,0.36,744
Apple,Veg,Fruits,52,13.8,0.26,0.17,2.4,3,0.017,0.023,0.52,0.314,0.321,-,-,-,-,-,2,,0.23,30,0.15,11,1.5,0.2,364
Rajma,Veg,Lentils,125,16,6.5,5.5,3.2,1.9,0.51,0.26,1.26,0.34,0.14,-,1.655,-,0.23,222,45,0.65,5,65,1.2,198,2.5,1.24,200
Moong Dal,Veg,Lentils,121,15,7.2,0.3,3.5,0.9,0.23,0.25,0.577,0.41,0.067,-,1,-,0.27,183,27,0.156,1.4,48,0.298,99,2.5,0.84,266
Humus,Veg,Beans,135,19.8,4.2,5.8,3.65,1,0.16,0.127,1.02,0.346,0.146,-,1.2,-,0.21,228,47,0.377,2.54,75,1.16,181,4.7,1.44,312
Chana Dal,Veg,Lentils,155,17.25,8,2.5,4.56,1.2,0.54,0.52,0.526,0.286,0.139,-,1.3,-,0.15,215,49,0.354,2.89,48,1.03,168,37,1.53,291
Urad Dal,Veg,Lentils,123,21.2,8.4,0.54,5.1,0.8,0.115,0.67,0.505,0.242,0.069,-,1.7,-,0.24,278,27,0.209,2.1,70,1.73,144,2.41,1.12,335
Masoor Dal,Veg,Lentils,115,23.456,7.3,1.65,2.8,0.56,0.147,0.45,0.256,0.157,0.357,-,1.78,-,0.29,168,25,0.541,1.98,56,0.147,213,5.23,0.23,269
Toor Dal,Veg,Lentils,130,18.54,6.8,2.56,4.1,1.23,0.159,0.21,0.3245,0.256,0.216,-,1.24,-,0.49,248,42,0.236,2.52,35,0.357,142,1.24,1.35,368
Dark Chocalate,Veg,Sugar,598,45.9,7.79,20,10.9,2,0.034,0.078,1.05,0.418,0.038,0.28,-,-,-,7.3,73,-,11.9,228,1.95,308,6.8,3.31,715
Milk,Veg,Dairy,96,12.92,3.75,3.75,-,-,-,-,-,-,-,-,1.5,-,-,-,125,-,-,-,-,-,-,-,154
Paneer,Veg,Dairy,321,3.57,18.5,10.5,-,-,-,-,-,-,-,-,,-,-,-,714,-,-,-,-,-,-,-,-
Tofu,Veg,Dairy,144,2.78,14.5,8.72,2.3,-,0.158,0.102,0.381,0.133,0.092,-,0.2,-,-,-,683,0.378,2.66,58,1.18,190,17.4,1.57,237
Peanuts,Veg,Nuts,579,16,26,49,8.5,-,0.64,0.135,12.1,1.77,0.348,-,-,-,0.1,2.1,101,1.2,2.21,140,1.99,350,4.1,2.95,521
Whey,Veg,Dairy,115,2,25,1.98,4,-,-,-,-,-,-,-,-,-,-,-,395,,,,,,,,751
Soyabean,Veg,Beans,172,16.98,18.2,8.97,6,1.3,0.155,0.285,0.399,0.179,0.234,-,1.7,-,0.35,192,102,0.407,5.14,86,0.824,245,7.13,1.15,515
Soya milk,Veg,Dairy,43,4.92,2.6,1.7,0.2,-,0.029,0.184,0.425,,0.031,-,-,-,,,123,0.165,,15,-,43,2.3,0.26,122
Almonds,Veg,Nuts,550,18,18,51,9,-,0.51,0.23,2.2,1.598,0.258,-,-,-,0.37,2.6,105,1.35,2.14,136,2.58,310,4.9,2.1,399
Cashews,Veg,Nuts,675,15,19,56,6.5,-,0.21,0.29,2.56,1.35,0.269,-,-,-,0.96,2.4,120,1.75,2.65,120,1.95,365,2.98,3.45,468
Chia seeds,Veg,Seeds,450,42.1,18,30,20,-,0.62,0.17,8.83,49,-,-,-,-,-,-,631,-,7.72,335,-,860,55.2,4.58,407
Pumpkin seeds,Veg,Seeds,412,50,17.5,25,25,-,0.52,0.25,3.6,50,-,-,-,-,-,-,593,-,6.53,325,-,690,51.23,2.35,352
Flax Seeds,Veg,Seeds,429,39,16.8,37,24,-,0.25,2.63,4.5,41,-,-,-,-,-,-,545,-,5.98,340,-,658,63.25,2.69,263
Hemp seeds,Veg,Seeds,489,41,25,41,29,-,0.52,2.64,6.21,47,-,-,-,-,-,-,439,-,6.12,299,-,351,23.5,2.01,295
Sesame Seeds,Veg,Seeds,475,46,19,31,31,-,0.29,0.99,5.21,32,-,-,-,-,-,-,610,-,5.58,357,-,586,41,2.65,310
Moong,Veg,Beans,105,19.2,7.2,0.38,7.6,1,0.164,0.061,0.577,0.41,0.067,-,1,-,0.78,247,27,0.156,1.4,48,0.298,99,2.5,0.84,266
Kala Chana,Veg,Beans,164,27.4,8.86,2.59,7.6,1,0.116,0.063,0.526,0.286,0.139,-,1.3,-,0.14,145,49,0.241,2.89,48,1.03,168,37,1.53,291
Black Urad,Veg,Beans,132,23.7,8.89,0.54,8.7,1.11,0.244,0.059,0.505,0.242,0.069,-,1.56,-,0.18,125,27,0.209,2.1,70,0.951,144,2.78,1.12,335
Cheese,Veg,Dairy,350,3.22,25,30,-,-,0.039,0.322,0.271,0.453,0.091,1.2,-,-,-,-,1180,,0.82,44,-,694,22.5,2.75,92
Greek yogurt,Veg,Dairy,73,3.94,9.95,1.92,-,90,0.0044,0.233,0.197,0.47,0.055,0.52,-,-,-,-,115,0.021,0.04,11,-,137,12.4,0.6,141
Peanut Butter,Veg,Nuts,565,16.5,25,50,8.6,-,0.64,0.135,12.1,1.77,0.348,-,-,-,0.1,2.1,101,1.2,2.21,140,1.99,350,4.1,2.95,521
Egg,Non-Veg,Animal,155,1.1,12.6,10.6,-,-,0.066,0.513,0.064,1.4,0.121,1.11,-,-,-,-,50,0.03,1.19,10,-,172,30.8,1.05,126
Chicken,Non-Veg,Animal,165,-,31,3.57,-,21,0.07,0.114,13.7,0.965,0.6,0.34,,0.1,,-,,0.049,1.04,29,-,228,27.6,1,256
Salmon,Non-Veg,Animal,206,-,22.1,12.4,-,69,0.34,0.135,8.04,1.48,0.347,2.8,3.7,13.1,1.14,-,15,0.049,0.34,30,0.016,252,41.4,0.43,384
Tuna,Non-Veg,Animal,184,-,29.9,6.28,-,757,0.278,0.306,10.5,1.38,0.525,10.9,-,-,-,-,-,0.11,1.31,64,0.02,326,46.8,0.77,323
Coconut oil,Veg,Oils and Fats,892,-,-,99.1,-,-,-,-,-,-,-,-,-,-,0.1,-,-,-,-,-,-,-,-,-,-
Sesame Oil,Veg,Oils and Fats,850,-,-,99.1,-,-,-,-,-,-,-,-,-,-,0.13,-,-,-,-,-,-,-,-,-,-
Olive oil,Veg,Oils and Fats,821,-,-,99.1,-,-,-,-,-,-,-,-,-,-,0.2,-,-,-,-,-,-,-,-,-,-
Mustard oil,Veg,Oils and Fats,838,-,-,99.1,-,-,-,-,-,-,-,-,-,-,0.08,-,-,-,-,-,-,-,-,-,-
Ghee,Veg,Dairy,900,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Butter,Veg,Dairy,717,-,0.85,81,-,-,0.005,0.034,0.042,0.11,0.03,0.12,-,-,-,-,24,0.016,0.02,2,,24,1,0.09,24
Walnuts,Veg,Nuts,595,14,15,65,7,-,0.341,0.15,1.12,0.57,0.537,-,-,-,0.7,2.7,98,1.59,2.91,158,3.41,346,4.9,3.09,441
Avocado,Veg,Fruits,160,8.53,2,14.7,6.7,7,0.023,0.253,0.563,0.357,0.2654,-,-,-,-,-,7,,0.51,25,0.31,23,1.98,0.24,312
Carrots,Veg,Vegetable,41,9.58,0.93,0.24,2.8,,0.066,0.058,0.983,0.273,0.13,-,5.9,-,-,-,33,0.045,0.3,12,0.143,35,0.1,0.24,320
Beetroot,Veg,Vegetable,50,7.8,2.3,0.1,3.5,568,0.099,0.26,0.589,0.571,0.22,-,6.1,-,-,-,35,0.24,0.23,24,0.154,30,0.22,0.14,350
Cucumber,Veg,Vegetable,25,3,0.2,0.01,0.5,420,0.12,0.52,0.658,0.351,0.38,-,8.2,-,-,-,68,0.147,0.65,26,0.147,21,0.17,0.35,222
Spinach,Veg,Vegetable,23,3.63,2.86,0.39,2.2,667,0.108,0.24,0.894,0.0546,0.56,-,6.8,-,-,-,36,0.256,0.61,16,0.178,32,0.25,0.36,321
Cabbage,Veg,Vegetable,56,5.6,2.5,0.14,2.3,625,0.123,0.63,0.638,0.466,0.36,-,4.6,-,-,-,61,0.612,0.36,18,0.126,35,0.21,0.34,256
Brocolli,Veg,Vegetable,61,4.7,1.66,0.14,2.3,689,0.159,0.002,0.598,0.652,0.35,-,6.2,-,-,-,56,0.875,0.28,25,0.168,35,0.34,25,324
Orange,Veg,Fruits,29,9,0.01,0.1,5.5,6,0.056,0.547,0.685,0.156,0.2354,-,-,-,-,-,2,-,0.53,31,0.52,30,1.25,0.3,352
Strawberries,Veg,Fruits,30,6.7,1.1,0.2,5.9,6.7,0.005,0.568,0.657,0.657,0.324,-,-,-,-,-,2.9,-,0.354,30,0.26,16,1.59,0.34,263
Popcorn,Veg,Grains,325,49,6.8,2,5.1,,0.203,0.283,1.94,0.42,0.245,-,-,-,-,-,20.8,0.42,2,131,0.943,300,9.9,3.4,246.5
Asparagus,Veg,Vegetable,57,25,1.25,0.31,2.8,625,0.167,0.37,0.679,0.179,0.51,-,3.4,-,-,-,49,0.512,0.48,15,0.24,34,0.32,0.17,214
Green peas,Veg,Vegetable,59,25,2.9,0.157,3.6,576,0.199,0.058,0.548,0.687,0.333,-,5.3,-,-,-,61,0.0258,0.46,23,0.198,37,0.17,0.52,268
Rasberries,Veg,Fruits,30,6.7,1.1,0.2,5.9,6.7,0.005,0.568,0.657,0.657,0.324,-,-,-,-,-,2.9,-,0.354,30,0.26,16,1.59,0.34,263
Beef,Non-Veg,Animal,260,-,25.4,16.82,-,3,0.047,0.175,5.07,,0.364,2.7,-,-,0.12,1.7,24,0.08,2.47,20,-,192,21.3,-,302
Pork,Non-Veg,Animal,297,-,25.7,20.8,-,,0.706,0.22,4.21,0.52,0.391,0.54,-,21,0.21,-,22,-,1.29,24,0.11,226,,3.21,362
Turkey,Non-Veg,Animal,147,-,30.1,2.8,-,0.3,0.035,0.205,11,0.9,0.807,0.39,-,0.3,-,-,-,0.063,0.71,32,0.011,230,30.2,1.72,249
Mango,Veg,Fruits,91,20,1.84,0.33,2.6,3,0.031,0.073,0.665,0.334,0.367,-,-,-,-,-,5,-,0.26,27,0.27,22,1,0.15,358
Grape,Veg,Fruits,30,6.7,1.1,0.2,5.9,6.7,0.005,0.568,0.657,0.657,0.324,-,-,-,-,-,2.9,-,0.354,30,0.26,16,1.59,0.34,263
Lemon,Veg,Vegetable,29,9.2,1.1,0.3,2.8,257,0.158,0.034,0.321,0.476,0.221,-,9.5,-,-,-,2.3,0.52,0.51,20,0.541,18,0.01,0.2,168
Kiwi,Veg,Fruits,81,20,1.84,0.33,2.6,3,0.031,0.073,0.665,0.334,0.367,-,-,-,-,-,5,-,0.26,27,0.27,22,1,0.15,358
Curd,Veg,Dairy,61,4.66,3.47,3.25,-,27,0.029,0.142,0.075,0.389,0.032,0.37,-,-,-,-,121,-,0.05,12,-,95,2.2,0.59,155
Pineapple,Veg,Fruits,91,20,1.84,0.33,2.6,3,0.031,0.073,0.665,0.334,0.367,-,-,-,-,-,5,-,0.26,27,0.27,22,1,0.15,358
,,,,,,,,,,,,,,,,,,,,,,,,,,,
